Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
Oppo Find X8,"[{'256GB 12GB RAM': '₹\u200961,999'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 42, 66 - International","HSPA, LTE, 5G",157.4 x 74.3 x 7.9 mm (6.20 x 2.93 x 0.31 in),193 g (6.81 oz),"Glass front (Gorilla Glass 7i), glass back (Gorilla Glass 7i), aluminum frame",Nano-SIM + ,"6.59 inches, 105.6 cm",1256 x 2760 pixels (~460 ppi density),"Android 15, up to 5 major Android upgrades, ColorOS 15",Mediatek Dimensity 9400 (3 nm),Octa-core (1x3.63 GHz Cortex-X925 & 3x3.3 GHz Cortex-X4 & 4x2.4 GHz Cortex-A720),Immortalis-G925,No,"256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS,
50 MP, f/2.6, 73mm (periscope telephoto), 1/1.95"", 0.61µm, 3x optical zoom, multi-directional PDAF, OIS,
50 MP, f/2.0, 15mm, 120˚ (ultrawide), 1/2.75"", 0.64µm, multi-directional PDAF","Laser AF, color spectrum sensor, Hasselblad Color Calibration, LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps; gyro-EIS; HDR, 10‑bit video, Dolby Vision","32 MP, f/2.4, 21mm (wide), 1/2.74"", 0.8µm","4K@30/60fps, 1080p@30/60fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct","5.4, A2DP, LE, aptX HD, LHDC 5","Yes; NFC-SIM, HCE, eSE, eID",No,"USB Type-C 3.0 (Global), 2.0 (China), OTG",Si/C Li-Ion 5630 mAh,"80W wired, PD 55W, PPS, UFCS","Star Grey, Space Black, Shell Pink, Blue",
Oppo Find X8 Pro,[{'512GB 16GB RAM': '£\u2009908.75'}],GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66 - International","HSPA, LTE, 5G",162.3 x 76.7 x 8.2 mm (6.39 x 3.02 x 0.32 in),215 g (7.58 oz),"Glass front (Gorilla Glass 7i), glass back (Gorilla Glass 7i), aluminum frame",Nano-SIM + ,"6.78 inches, 111.7 cm",1264 x 2780 pixels (~450 ppi density),"Android 15, up to 5 major Android upgrades, ColorOS 15",Mediatek Dimensity 9400 (3 nm),Octa-core (1x3.63 GHz Cortex-X925 & 3x3.3 GHz Cortex-X4 & 4x2.4 GHz Cortex-A720),Immortalis-G925,No,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM","50 MP, f/1.6, 23mm (wide), 1/1.4"", 1.12µm, multi-directional PDAF, OIS,
50 MP, f/2.6, 73mm (periscope telephoto), 1/1.95"", 0.61µm, 3x optical zoom, multi-directional PDAF, OIS,
50 MP, f/4.3, 135mm (periscope telephoto), 1/2.51"", 0.7µm, 6x optical zoom, dual pixel PDAF (35cm - ∞), OIS,
50 MP, f/2.0, 15mm, 120˚ (ultrawide), 1/2.75"", 0.64µm, multi-directional PDAF","Laser AF, color spectrum sensor, Hasselblad Color Calibration, LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps; gyro-EIS; HDR, 10‑bit video, Dolby Vision","32 MP, f/2.4, 21mm (wide), 1/2.74"", 0.8µm","4K@30/60fps, 1080p@30/60fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6/7, dual-band or tri-band, Wi-Fi Direct","5.4, A2DP, LE, aptX HD, LHDC 5","Yes; NFC-SIM, HCE, eSE, eID",No,"USB Type-C 3.2, OTG",Si/C Li-Ion 5910 mAh,"80W wired, PD 55W, PPS, UFCS","Space Black, Pearl White, Blue",
Oppo Pad 3,,No cellular connectivity, N/A, N/A, N/A,,257.8 x 189.1 x 6.3 mm (10.15 x 7.44 x 0.25 in),533 g or 536 g (1.18 lb),,No,"11.61 inches, 411.3 cm",2000 x 2800 pixels (~296 ppi density),"Android 15, ColorOS 15",Mediatek Dimensity 8350 (4 nm),Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510),Mali G615-MC6,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",8 MP,LED flash,"4K@30fps, 1080p@30ps, gyro-EIS",8 MP,1080p@30fps,"Yes, with stereo speakers (4 speakers)",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.4, A2DP, LE",No,No,"USB Type-C 3.2, OTG, accessory connector",9520 mAh,"67W wired, PD, QC, UFCS","Silver, Blue, Purple",About 280 EUR
Oppo Reno13,"[{'256GB 12GB RAM': '$\u2009745.00'}, {'128GB 8GB RAM': '₹\u200932,992'}, {'256GB 8GB RAM': '₹\u200939,999'}]",GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - International,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66 - International","HSPA, LTE, 5G",157.9 x 74.7 x 7.2 mm (6.22 x 2.94 x 0.28 in),181 g (6.38 oz),"Glass front (Gorilla Glass 7i), aluminum alloy frame, glass back",Nano-SIM + Nano-SIM + ,"6.59 inches, 105.6 cm",1256 x 2760 pixels (~460 ppi density),"Android 15, ColorOS 15",Mediatek Dimensity 8350 (4 nm),Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510),Mali G615-MC6,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM","50 MP, f/1.8, 26mm (wide), 1/1.95"", 0.8µm, multi-directional, PDAF, OIS,
8 MP, f/2.2, 15mm, 115˚ (ultrawide), 1/4.0"", 1.12µm, AF,
2 MP, f/2.4, (depth)","Color spectrum sensor, LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120fps, gyro-EIS","50 MP, f/2.0, 21mm (wide), 1/2.75"", AF","4K@30/60fps, 1080p@30/60fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.4, A2DP, LE, aptX HD, LHDC 5","Yes, eSE, HCE, NFC-SIM, eID",No,"USB Type-C 2.0, OTG",5600 mAh,"80W wired, PD 13.5W, UFCS 33W, PPS 33W","Plume White, Luminous Blue, Black, Purple, Blue",
Oppo Reno13 Pro,[{'512GB 12GB RAM': '$\u2009939.00'}],GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - International,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 32, 34, 38, 39, 40, 41, 66 - International","HSPA, LTE, 5G",162.8 x 76.6 x 7.6 mm (6.41 x 3.02 x 0.30 in),195 g or 197 g (6.88 oz),"Glass front (Gorilla Glass 7i), aluminum alloy frame, glass back",Nano-SIM + Nano-SIM + ,"6.83 inches, 113.3 cm",1272 x 2800 pixels (~450 ppi density),"Android 15, ColorOS 15",Mediatek Dimensity 8350 (4 nm),Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510),Mali G615-MC6,No,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS,
50 MP, f/2.8, 85mm (telephoto), PDAF, OIS, 3.5x optical zoom,
8 MP, f/2.2, 15mm, 116˚ (ultrawide), 1/4.0"", 1.12µm","Color spectrum sensor, LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120fps, gyro-EIS","50 MP, f/2.0, 21mm (wide), AF","4K@30/60fps, 1080p@30/60fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e, dual-band","5.4, A2DP, LE, aptX HD, LHDC 5","Yes, eSE, HCE, NFC-SIM, eID",No,"USB Type-C 2.0, OTG",5800 mAh,"80W wired, PD 13.5W, UFCS 33W, PPS 33W","Graphite Grey, Plume Purple, Pink",
Oppo A5 Pro (China),,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 8, 28, 34, 38, 39, 40, 41","HSPA, LTE, 5G",161.5 x 74.9 x 7.6 mm (6.36 x 2.95 x 0.30 in),180 g or 186 g (6.35 oz),"Glass front (Gorilla Glass Victus 2), glass back (Crystal Shield Glass)",Nano-SIM + Nano-SIM,"6.7 inches, 108.0 cm","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)","Android 15, ColorOS 15",Mediatek Dimensity 7300 (4 nm),Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 8GB RAM, 512GB 12GB RAM","50 MP, f/1.8, 27mm (wide), 1/2.88"", PDAF,
2 MP, f/2.4, (depth)","Color spectrum sensor, LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS","16 MP, f/2.4, (wide)","1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.4, A2DP, LE, aptX HD","Yes, HCE, eSE, NFC-SIM",No,"USB Type-C 2.0, OTG",Si/C Li-Ion 6000 mAh,"80W wired, 13.5W PD, 45% in 20 min","Black, White, Red, Purple",About 260 EUR
Oppo Reno13 F 4G,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 - version 1,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - version 1","HSPA, LTE",162.2 x 75.1 x 7.8 mm (6.39 x 2.96 x 0.31 in),192 g (6.77 oz),,Nano-SIM + Nano-SIM,"6.67 inches, 107.4 cm","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Android 15, ColorOS 15",Mediatek Helio G100 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC,"256GB 8GB RAM, 512GB 8GB RAM","50 MP, f/1.8, 26mm (wide), PDAF, OIS,
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm,
2 MP, f/2.4, (macro)","LED flash, HDR, panorama","1080p@30/60, gyro-EIS, OIS","32 MP, f/2.4, 22mm (wide), 1/2.74"", 0.8µm",1080p@30fps,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.3, A2DP, LE, aptX HD",Yes (market/region dependent),Unspecified,"USB Type-C 2.0, OTG",5800 mAh,"45W wired, PD, 45% in 30 min","Graphite Grey, Skyline Blue, Plume Purple",
Oppo Reno11 (China),,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1700(AWS) / 2100 ,"1, 3, 4, 5, 8, 28, 34, 38, 39, 40, 41","HSPA, LTE (CA), 5G",162.4 x 74.1 x 7.6 mm (6.39 x 2.92 x 0.30 in),184 g (6.49 oz),,Nano-SIM + Nano-SIM,"6.7 inches, 108.0 cm","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)","Android 14, ColorOS 14",Mediatek Dimensity 8200 (4 nm),Octa-core (1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC6,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.8, 26mm (wide), 1/1.95"", PDAF, OIS,
32 MP, f/2.0, 47mm (telephoto), 1/2.74"", 0.8µm, PDAF, 2x optical zoom,
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS","32 MP, f/2.4, 22mm (wide), 1/2.74"", 0.8µm, AF","4K@30fps, 1080p@30fps, gyro-EIS",Yes,No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.4, A2DP, LE, aptX HD","Yes, eSE, HCE, NFC-SIM, eID",No,"USB Type-C 2.0, OTG",Li-Po 4800 mAh,"67W wired, PD, QC3, 50% in 19 min","Black, Green, Silver",About 320 EUR
Oppo Reno11 Pro (China),,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1700(AWS) / 2100 ,"1, 3, 4, 5, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41","HSPA, LTE (CA), 5G",163 x 74.2 x 8.2 mm (6.42 x 2.92 x 0.32 in),190 g (6.70 oz),,Nano-SIM + Nano-SIM,"6.74 inches, 109.2 cm","1240 x 2772 pixels, 20:9 ratio (~451 ppi density)","Android 14, ColorOS 14",Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Octa-core (1x3.2 GHz Cortex-X2 & 3x2.5 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,No,"256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS,
32 MP, f/2.0, 47mm (telephoto), 1/2.74"", 0.8µm, PDAF, 2x optical zoom,
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm","Color spectrum sensor, LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS, HDR","32 MP, f/2.4, 22mm (wide), 1/2.74"", 0.8µm, AF","4K@30fps, 1080p@30fps, gyro-EIS",Yes,No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD","Yes, eSE, HCE, NFC-SIM, eID",No,"USB Type-C 2.0, OTG",Li-Po 4700 mAh,"80W wired, PD, QC3, 50% in 11 min, 100% in 27 min","Black, Green, Silver",About 450 EUR
Oppo A59,"[{'128GB 6GB RAM': '₹\u200914,698'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 , LTE,"HSPA, LTE, 5G",8.1 mm thickness,187 g (6.60 oz),,Nano-SIM + Nano-SIM,"6.56 inches, 103.4 cm","720 x 1612 pixels, 20:9 ratio (~269 ppi density)","Android 13, upgradable to Android 15, ColorOS 15",Mediatek Dimensity 6020 (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC,"128GB 4GB RAM, 128GB 6GB RAM","13 MP, f/2.2, 25mm (wide), PDAF,
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.2, 27mm (wide)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.3, A2DP, LE",Unspecified,No,"USB Type-C 2.0, OTG",5000 mAh,"33W wired, 52% in 30 min","Silk Gold, Starry Black",
Oppo Find X7,,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 3, 4, 5 , 7, 8, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 66","HSPA, LTE, 5G",162.7 x 75.4 x 8.7 mm or 9.0 mm,202 g or 206 g (7.13 oz),"Glass front (Gorilla Glass Victus 2), glass back or eco leather back, aluminum frame",Nano-SIM + Nano-SIM,"6.78 inches, 111.7 cm",1264 x 2780 pixels (~450 ppi density),"Android 14, ColorOS 14",Mediatek Dimensity 9300 (4 nm),Octa-core (1x3.25 GHz Cortex-X4 & 3x2.85 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720),Immortalis-G720 MC12,No,"256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM, 1TB 16GB RAM","50 MP, f/1.6, 23mm (wide), 1/1.56"", PDAF, OIS,
64 MP, f/2.6, 70mm (periscope telephoto), 1/2.0"", 3x optical zoom, PDAF, OIS,
50 MP, f/2.0, 15mm, 119˚ (ultrawide), PDAF","Hasselblad Color Calibration, color spectrum sensor, LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps; gyro-EIS; HDR, 10‑bit video, Dolby Vision","32 MP, f/2.4, 21mm (wide), 1/2.74"", 0.8µm, PDAF","4K@30fps, 1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e/7, dual-band, Wi-Fi Direct","5.4, A2DP, LE, aptX HD, LHDC","Yes; NFC-SIM, HCE, eSE, eID",No,"USB Type-C 2.0, OTG",5000 mAh,"100W wired, PD, 50% in 10 min, 100% in 26 min","Black, Dark Blue, Light Brown, Purple",About 520 EUR
Oppo Find X7 Ultra,,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 66","HSPA, LTE, 5G",164.3 x 76.2 x 9.5 mm (6.47 x 3.00 x 0.37 in),221 g (7.80 oz),"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass) or eco leather back, aluminum frame",Nano-SIM + Nano-SIM,"6.82 inches, 113.0 cm",1440 x 3168 pixels (~510 ppi density),"Android 14, up to 4 major Android upgrades, ColorOS 14",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,No,"256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM","50 MP, f/1.8, 23mm (wide), 1.0""-type, 1.6µm, dual pixel PDAF, OIS,
50 MP, f/2.6, 65mm (periscope telephoto), 1/1.56"", 1.0µm, 2.8x optical zoom, multi-directional PDAF (25cm - ∞), OIS,
50 MP, f/4.3, 135mm (periscope telephoto), 1/2.51"", 0.7µm, 6x optical zoom, dual pixel PDAF (35cm - ∞), OIS,
50 MP, f/2.0, 14mm, 123˚ (ultrawide), 1/1.95"", 1.0µm, PDAF","Laser AF, color spectrum sensor, Hasselblad Color Calibration, LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps; gyro-EIS; HDR, 10‑bit video, Dolby Vision","32 MP, f/2.4, 21mm (wide), 1/2.74"", 0.8µm, PDAF","4K@30/60fps, 1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e/7, dual-band, Wi-Fi Direct","5.4, A2DP, LE, aptX HD, LHDC","Yes; NFC-SIM, HCE, eSE, eID",No,"USB Type-C 3.2, OTG",5000 mAh,"100W wired, PD, 50% in 10 min, 100% in 26 min","Black, Dark Blue, Light Brown",About 770 EUR
Oppo Reno11,[{'256GB 12GB RAM': '$\u2009390.00'}],GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66","HSPA, LTE (CA), 5G",162.4 x 74.3 x 7.9 mm or 8.0 mm,182 g (6.42 oz),,Nano-SIM + Nano-SIM,"6.7 inches, 108.0 cm","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)","Android 14, upgradable to Android 15, ColorOS 15",Mediatek Dimensity 7050 (6 nm),Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4,microSDXC,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, 26mm (wide), 1/1.95"", PDAF, OIS,
32 MP, f/2.0, 47mm (telephoto), 1/2.74"", 0.8µm, PDAF, 2x optical zoom,
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120/480fps, 720p@960fps, gyro-EIS","32 MP, f/2.4, 22mm (wide), 1/2.74"", 0.8µm","4K@30fps, 1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD, LHDC",Yes,No,"USB Type-C 2.0, OTG",Li-Po 5000 mAh,"67W wired, PD, QC3, 100% in 45 min","Wave Green, Rock Grey",
Oppo Reno11 Pro,"[{'256GB 12GB RAM': '₹\u200925,750'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66","HSPA, LTE (CA), 5G",162.4 x 74.1 x 7.6 mm or 7.7 mm,181 g (6.38 oz),,Nano-SIM + Nano-SIM,"6.7 inches, 108.0 cm","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)","Android 14, upgradable to Android 15, ColorOS 15",Mediatek Dimensity 8200 (4 nm),Octa-core (1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC6,No,"256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS,
32 MP, f/2.0, 47mm (telephoto), 1/2.74"", 0.8µm, PDAF, 2x optical zoom,
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120/480fps, gyro-EIS, 720p@960fps, HDR","32 MP, f/2.4, 22mm (wide), 1/2.74"", 0.8µm, AF","4K@30fps, 1080p@30fps, gyro-EIS",Yes,No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD, LHDC",Yes,No,"USB Type-C 2.0, OTG",Li-Po 4600 mAh,"80W wired, PD, QC3, 45% in 10 min","Pearl White, Rock Grey",
Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
Oppo Reno11 (China),,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1700(AWS) / 2100 ,"1, 3, 4, 5, 8, 28, 34, 38, 39, 40, 41","HSPA, LTE (CA), 5G",162.4 x 74.1 x 7.6 mm (6.39 x 2.92 x 0.30 in),184 g (6.49 oz),,Nano-SIM + Nano-SIM,"6.7 inches, 108.0 cm","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)","Android 14, ColorOS 14",Mediatek Dimensity 8200 (4 nm),Octa-core (1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC6,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.8, 26mm (wide), 1/1.95"", PDAF, OIS,
32 MP, f/2.0, 47mm (telephoto), 1/2.74"", 0.8µm, PDAF, 2x optical zoom,
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS","32 MP, f/2.4, 22mm (wide), 1/2.74"", 0.8µm, AF","4K@30fps, 1080p@30fps, gyro-EIS",Yes,No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.4, A2DP, LE, aptX HD","Yes, eSE, HCE, NFC-SIM, eID",No,"USB Type-C 2.0, OTG",Li-Po 4800 mAh,"67W wired, PD, QC3, 50% in 19 min","Black, Green, Silver",About 320 EUR
Oppo Reno11 Pro (China),,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1700(AWS) / 2100 ,"1, 3, 4, 5, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41","HSPA, LTE (CA), 5G",163 x 74.2 x 8.2 mm (6.42 x 2.92 x 0.32 in),190 g (6.70 oz),,Nano-SIM + Nano-SIM,"6.74 inches, 109.2 cm","1240 x 2772 pixels, 20:9 ratio (~451 ppi density)","Android 14, ColorOS 14",Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Octa-core (1x3.2 GHz Cortex-X2 & 3x2.5 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,No,"256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS,
32 MP, f/2.0, 47mm (telephoto), 1/2.74"", 0.8µm, PDAF, 2x optical zoom,
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm","Color spectrum sensor, LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS, HDR","32 MP, f/2.4, 22mm (wide), 1/2.74"", 0.8µm, AF","4K@30fps, 1080p@30fps, gyro-EIS",Yes,No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD","Yes, eSE, HCE, NFC-SIM, eID",No,"USB Type-C 2.0, OTG",Li-Po 4700 mAh,"80W wired, PD, QC3, 50% in 11 min, 100% in 27 min","Black, Green, Silver",About 450 EUR
