Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
LG Q9,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 7, 8, 28, 38","HSPA 42.2/5.76 Mbps, LTE (3CA) Cat11 600/50 Mbps",153.2 x 71.9 x 7.9 mm (6.03 x 2.83 x 0.31 in),159 g (5.61 oz),,Nano-SIM,"6.1 inches, 91.0 cm","1440 x 3120 pixels, 19.5:9 ratio (~564 ppi density)",Android 8.1 (Oreo),Qualcomm MSM8996 Snapdragon 821 (14 nm),Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),Adreno 530,microSDXC (dedicated slot),64GB 4GB RAM,"16 MP, f/2.2, 28mm (wide), PDAF","LED flash, HDR, panorama",4K@30fps,"8 MP, f/1.9, 26mm (wide)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE",Yes,FM radio,"USB Type-C 3.1, OTG","Li-Ion 3000 mAh, non-removable","18W wired, QC3","Carmine Red, New Aurora Black, New Moroccan Blue",About 400 EUR
LG K40,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",153 x 71.9 x 8.3 mm (6.02 x 2.83 x 0.33 in),144 g (5.08 oz),"Glass front, plastic back, plastic frame",Nano-SIM,"5.7 inches, 83.8 cm","720 x 1440 pixels, 18:9 ratio (~282 ppi density)","Android 8.1 (Oreo), LG UX 7",Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (dedicated slot),"32GB 2GB RAM, 32GB 3GB RAM","16 MP, f/2.0, 1/3.1"", 1.0µm, PDAF","LED flash, panorama, HDR",1080p@30fps,"8 MP, f/2.0",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE",Yes (market/region dependent),No,"microUSB 2.0, OTG","Li-Ion 3000 mAh, non-removable",,"Black, New Moroccan Blue, New Platinum Gray",About 140 EUR
LG K50,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20, 38","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/75 Mbps",161.3 x 77 x 8.7 mm (6.35 x 3.03 x 0.34 in),170 g (6.00 oz),,Nano-SIM,"6.26 inches, 97.8 cm","720 x 1520 pixels, 19:9 ratio (~269 ppi density)",Android 9.0 (Pie),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, f/2.2, 26mm (wide), PDAF,
2 MP, f/2.4, (depth)","LED flash, panorama, HDR",1080p@30fps,"13 MP, f/2.0, 1/3.1"", 1.12µm",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE",Yes (market/region dependent),No,"microUSB 2.0, OTG","Li-Po 3500 mAh, non-removable",,"Aurora Black, Moroccan Blue, Platinum Gray",About 180 EUR
LG Q60,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20, 38","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/75 Mbps",161.3 x 77 x 8.7 mm (6.35 x 3.03 x 0.34 in),172 g (6.07 oz),,Nano-SIM,"6.26 inches, 97.8 cm","720 x 1520 pixels, 19:9 ratio (~269 ppi density)","Android 9.0 (Pie), LG UX 7",Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (dedicated slot),64GB 3GB RAM,"16 MP, f/2.0, 26mm (wide), PDAF,
5 MP, f/2.2, 13mm (ultrawide),
2 MP, f/2.4, (depth)","LED flash, panorama, HDR",1080p@30fps,"13 MP, 1/3.1"", 1.12µm",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE",Yes,No,microUSB 2.0,"Li-Ion 3500 mAh, non-removable",,"New Moroccan Blue, Aurora Black",About 230 EUR
LG G8 ThinQ,,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 46, 48, 66, 71 - USA","HSPA 42.2/5.76 Mbps, LTE Cat19 1600/150 Mbps",151.9 x 71.8 x 8.4 mm (5.98 x 2.83 x 0.33 in),167 g (5.89 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 6), aluminum frame",Nano-SIM,"6.1 inches, 91.0 cm","1440 x 3120 pixels, 19.5:9 ratio (~564 ppi density)","Android 9.0 (Pie), upgradable to Android 11",Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,microSDXC (dedicated slot) - single-SIM model,128GB 6GB RAM,"12 MP, f/1.5, 27mm (standard), 1/2.55"", 1.4µm, dual pixel PDAF, OIS,
16 MP, f/1.9, 16mm (ultrawide), 1/3.1"", 1.0µm, no AF,
or,
12 MP, f/1.5, 27mm (standard), 1/2.55"", 1.4µm, dual pixel PDAF, OIS,
16 MP, f/1.9, 16mm (ultrawide), 1/3.1"", 1.0µm, no AF,
12 MP, 52mm (telephoto), f/2.4, 1.0µm, 2x optical zoom, dual pixel PDAF, OIS","LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60fps, 720p@240fps, HDR10, 24-bit/192kHz stereo sound rec.","8 MP, f/1.7, 26mm (wide), 1/3.6"", 1.22µm, AF,
TOF 3D, f/1.4, (depth/biometrics sensor)",1080p@60fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE, aptX HD",Yes,FM radio (market/region dependent),"USB Type-C 3.1, OTG","Li-Po 3500 mAh, non-removable","21W wired, PD, QC3","Platinum Gray, New Aurora Black, New Moroccan Blue, Carmine Red",About 350 EUR
LG G8S ThinQ,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 32, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE Cat19 1600/150 Mbps",155.3 x 76.6 x 8 mm (6.11 x 3.02 x 0.31 in),181 g (6.38 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 6), aluminum frame",Nano-SIM,"6.21 inches, 97.6 cm",1080 x 2248 pixels (~401 ppi density),"Android 9.0 (Pie), upgradable to Android 12",Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,microSDXC (dedicated slot) - single-SIM model,"64GB 6GB RAM, 128GB 6GB RAM","12 MP, f/1.8, 27mm (wide), 1.4µm, PDAF, OIS,
12 MP, f/2.6, 49mm (telephoto), 1.0µm, PDAF, 2x optical zoom,
13 MP, f/2.4, 14mm (ultrawide), 1.0µm","LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60fps, 1080p@240fps, HDR, 24-bit/192kHz stereo sound rec.","8 MP, f/1.9, 26mm (wide), 1/4.0"", 1.12µm, AF,
TOF 3D, f/1.4, (depth sensor)",1080p@60fps,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE, aptX HD",Yes,FM radio,"USB Type-C 3.1, OTG","Li-Po 3550 mAh, non-removable","18W wired, QC3","Mirror Black, Mirror Teal, Mirror White, Carmine Red, New Aurora Black, New Moroccan Blue",About 480 EUR
LG V50 ThinQ 5G,,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 40, 41, 46, 66, 71 - USA","HSPA 42.2/5.76 Mbps, LTE (6CA) Cat18 1200/75 Mbps, 5G (2+ Gbps DL)",159.2 x 76.1 x 8.3 mm (6.27 x 3.00 x 0.33 in),183 g (6.46 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 6), aluminum frame",Nano-SIM,"6.4 inches, 100.2 cm","1440 x 3120 pixels, 19.5:9 ratio (~538 ppi density)","Android 9.0 (Pie), upgradable to Android 11",Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,microSDXC (dedicated slot),128GB 6GB RAM,"12 MP, 27mm (wide), f/1.5, 1/2.55"", 1.4µm, dual pixel PDAF, 3-axis OIS,
12 MP, 52mm (telephoto), f/2.4, 1/3.4"", 1.0µm, 2x optical zoom, PDAF, OIS,
16 MP, 16mm (ultrawide), f/1.9, 1/3.1"", 1.0µm, no AF","LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, 24-bit/192kHz stereo sound rec., HDR10 video, gyro-EIS","8 MP, f/1.9, 26mm (wide), 1/4.0"", 1.12µm,
5 MP, 21mm (wide), f/2.2, 1/5.0"", 1.12µm",1080p@60fps,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE, aptX HD",Yes,FM radio,USB Type-C 3.1,"Li-Po 4000 mAh, non-removable","18W wired, PD2.0, QC3, 50% in 36 min",New Aurora Black,About 550 EUR
LG Stylo 5,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1700(AWS) / 1900 ,"2, 4, 5, 12, 14, 29, 30, 66","HSPA, LTE",160 x 77.7 x 8.4 mm (6.30 x 3.06 x 0.33 in),179 g (6.31 oz),,Nano-SIM,"6.2 inches, 99.2 cm","1080 x 2160 pixels, 18:9 ratio (~390 ppi density)",Android 9.0 (Pie),Qualcomm SDM450 Snapdragon 450 (14 nm),Octa-core 1.8 GHz Cortex-A53,Adreno 506,microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, PDAF","LED flash, panorama, HDR",1080p@30fps,5 MP,1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4.2, A2DP, LE",No,No,USB Type-C 2.0,"Li-Ion 3500 mAh, non-removable",,"Blonde Rose, Platinum Gray",About 200 EUR
LG W10,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 8, 40, 41","HSPA, LTE",156 x 76.2 x 8.5 mm (6.14 x 3.00 x 0.33 in),164 g (5.78 oz),,Nano-SIM,"6.19 inches, 96.0 cm","720 x 1512 pixels, 19:9 ratio (~271 ppi density)",Android 9.0 (Pie),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, PDAF,
5 MP, f/2.4, (depth)","LED flash, panorama, HDR",1080p@30fps,8 MP,1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, Wi-Fi Direct","4.2, A2DP, LE",No,FM radio,"microUSB 2.0, OTG","Li-Po 4000 mAh, non-removable",,"Tulip Purple, Smokey Grey",About 110 EUR
LG W30,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 8, 40, 41","HSPA, LTE",159 x 76.5 x 8.2 mm (6.26 x 3.01 x 0.32 in),175 g (6.17 oz),,Nano-SIM,"6.26 inches, 97.8 cm","720 x 1520 pixels, 19:9 ratio (~269 ppi density)",Android 9.0 (Pie),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (uses shared SIM slot),"32GB 3GB RAM, 64GB 4GB RAM","12 MP, (wide), 1/2.9"", 1.25µm, PDAF,
13 MP, 18mm (ultrawide),
2 MP, (depth)","LED flash, panorama, HDR",1080p@30fps,"16 MP, f/2.2, (wide), 1/3.06"", 1.0µm",,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, Wi-Fi Direct","4.2, A2DP, LE",No,FM radio,"microUSB 2.0, OTG","Li-Po 4000 mAh, non-removable",,"Thunder Blue, Platinum Grey, Aurora Green",About 130 EUR
LG W30 Pro,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 8, 40, 41","HSPA, LTE",157.7 x 75.9 x 8.3 mm (6.21 x 2.99 x 0.33 in),172 g (6.07 oz),,Nano-SIM + Nano-SIM,"6.22 inches, 96.6 cm","720 x 1520 pixels, 19:9 ratio (~270 ppi density)",Android 9.0 (Pie),Qualcomm SDM632 Snapdragon 632 (14 nm),Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver),Adreno 506,microSDXC (dedicated slot),64GB 4GB RAM,"13 MP, PDAF,
8 MP, 13mm (ultrawide), 1/4.0"", 1.12µm,
5 MP, f/2.4, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30fps","16 MP, f/2.2, (wide), 1/3.06"", 1.0µm",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, Wi-Fi Direct","4.2, A2DP, LE",No,FM radio,"USB Type-C 2.0, OTG","Li-Po 4050 mAh, non-removable","Wired, 50% in 35 min","Midnight Blue, Midnight Purple",About 190 EUR
LG K50S,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",165.8 x 77.5 x 8.2 mm (6.53 x 3.05 x 0.32 in),194 g (6.84 oz),,Nano-SIM,"6.5 inches, 105.5 cm","720 x 1520 pixels, 19:9 ratio (~259 ppi density)",Android 9.0 (Pie),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, f/2.2, 26mm (wide), PDAF,
5 MP, f/2.2, 115˚ (ultrawide),
2 MP, f/2.4, (depth)","LED flash, panorama, HDR",1080p@30fps,"13 MP, f/2.0, 1/3.1"", 1.12µm",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE",Yes (market/region dependent),FM radio,"USB Type-C 2.0, OTG","Li-Po 4000 mAh, non-removable",,"New Aurora Black, New Moroccan Blue",About 200 EUR
LG K40S,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",156.3 x 73.9 x 8.6 mm (6.15 x 2.91 x 0.34 in),186 g (6.56 oz),,Nano-SIM,"6.1 inches, 92.9 cm","720 x 1520 pixels, 19:9 ratio (~276 ppi density)","Android 9.0 (Pie), upgradable to Android 10",Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (dedicated slot),"32GB 2GB RAM, 32GB 3GB RAM","13 MP, f/2.2, 26mm (wide), PDAF,
5 MP, (ultrawide)","LED flash, panorama, HDR",1080p@30fps,"13 MP, f/2.0, 1/3.1"", 1.12µm",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE",Yes (market/region dependent),No,"microUSB 2.0, OTG","Li-Po 3500 mAh, non-removable",,"New Aurora Black, New Moroccan Blue",About 160 EUR
LG K20 (2019),,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20, 38","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",148.6 x 71.9 x 8.3 mm (5.85 x 2.83 x 0.33 in),152 g (5.36 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,"5.45 inches, 76.7 cm","480 x 960 pixels, 18:9 ratio (~197 ppi density)",Android 9.0 Pie (Go edition),Mediatek MT6739 (28 nm),Quad-core 1.5 GHz Cortex-A53,PowerVR GE8100,microSDHC (dedicated slot),16GB 1GB RAM,"8 MP, f/2.0, 27mm (wide), 1/4.0"", 1.12µm, AF","LED flash, panorama, HDR",1080p@30fps,"5 MP, f/2.2, 24mm (wide), 1/5.0"", 1.12µm",,Yes,Yes,WLANWi-Fi 802.11 b/g/n,"5.0, A2DP, LE",No,No,microUSB 2.0,"Li-Ion 3000 mAh, non-removable",,"New Aurora Black, New Moroccan Blue",About 100 EUR
LG K30 (2019),,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20, 38","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",146.9 x 71.5 x 8.5 mm (5.78 x 2.81 x 0.33 in),148 g (5.22 oz),"Glass front, plastic back, plastic frame",Nano-SIM,"5.45 inches, 76.7 cm","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",Android 9.0 (Pie),Qualcomm MSM8917 Snapdragon 425 (28 nm),Quad-core 1.4 GHz Cortex-A53,Adreno 308,microSDHC (uses shared SIM slot),16GB 2GB RAM,"8 MP, f/2.0, 27mm (wide), 1/4.0"", 1.12µm, AF","LED flash, panorama, HDR",1080p@30fps,"5 MP, f/2.2, 24mm (wide), 1/5.0"", 1.12µm",,Yes,Yes,WLANWi-Fi 802.11 b/g/n,"5.0, A2DP, LE",Yes (market/region dependent),No,microUSB 2.0,"Li-Ion 3000 mAh, non-removable",,"New Aurora Black, New Moroccan Blue",About 140 EUR
LG Q70,,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"2, 3, 4, 5, 7, 12, 13, 20, 66 - Verizon","HSPA 42.2/5.76 Mbps, LTE (3CA) Cat11 600/75 Mbps",162.1 x 76.8 x 8.3 mm (6.38 x 3.02 x 0.33 in),198 g (6.98 oz),"Glass front (Gorilla Glass), glass back, aluminum frame",Nano-SIM,"6.4 inches, 101.4 cm",1080 x 2310 pixels (~398 ppi density),"Android 9.0 (Pie), upgradable to Android 10, LG UX 9",Qualcomm SDM675 Snapdragon 675 (11 nm),Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),Adreno 612,microSDXC (dedicated slot),64GB 4GB RAM,"32 MP, f/1.8, 26mm (wide), 1/2.8"", 0.8µm, PDAF,
13 MP, f/2.2, 13mm (ultrawide),
5 MP, f/2.4, (depth),
or,
32 MP, f/1.8, 26mm (wide), 1/2.8"", 0.8µm, PDAF,
5 MP, f/2.4, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30fps","16 MP, f/1.9, 26mm (wide), 1/2.8"", 1.12µm",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE",Yes,No,USB Type-C 2.0,"Li-Po 4000 mAh, non-removable","15W wired, QC3",Mirror Black,About 320 EUR
LG X style,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",144.8 x 71.4 x 6.9 mm (5.70 x 2.81 x 0.27 in),121 g (4.27 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","5.0 inches, 68.9 cm","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 6.0.1 (Marshmallow),Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.3 GHz Cortex-A7,Adreno 304,microSDXC (dedicated slot),16GB 1.5GB RAM,"8 MP, AF","LED flash, panorama",1080p@30fps,5 MP,720p,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, Wi-Fi Direct","4.1, A2DP, LE",No,FM radio,microUSB 2.0,"Li-Ion 2100 mAh, non-removable",,"Black, White, Titan",About 70 EUR
LG X power,,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20 - K220","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",148.9 x 74.9 x 7.9 mm (5.86 x 2.95 x 0.31 in),139 g (4.90 oz),,Nano-SIM,"5.3 inches, 77.4 cm","720 x 1280 pixels, 16:9 ratio (~277 ppi density)",Android 6.0.1 (Marshmallow),Mediatek MT6735 (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T720,microSDXC (dedicated slot),16GB 2GB RAM,"13 MP, f/2.2, 1/4.0"", 1.12µm, AF,
8 MP, AF (LS755, US610, K450)","LED flash, panorama",1080p@30fps,"5 MP, f/2.4",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, Wi-Fi Direct","4.1/4.2, A2DP, LE",No,FM radio,"microUSB 2.0, OTG","Li-Ion 4100 mAh, non-removable",10W wired,"Indigo, White, Gold",About 130 EUR
LG G Pad X 8.0,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"2, 3, 4, 7, 12","HSPA, LTE",210.8 x 121.9 x 7.9 mm (8.30 x 4.80 x 0.31 in),309 g (10.90 oz),,Nano-SIM,"8.0 inches, 185.6 cm","1200 x 1920 pixels, 16:10 ratio (~283 ppi density)",Android 6.0.1 (Marshmallow),Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 2GB RAM","5 MP, AF",Panorama,1080p@30fps,5 MP,,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","4.2, A2DP, LE",No,No,microUSB 2.0,"Li-Ion 4800 mAh, non-removable",,White/Gold,About 220 EUR
LG G Pad III 8.0 FHD,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 , HSDPA, LTE,"HSPA, LTE",210.7 x 124.1 x 7.9 mm (8.30 x 4.89 x 0.31 in),-,,Nano-SIM,"8.0 inches, 185.6 cm","1200 x 1920 pixels, 16:10 ratio (~283 ppi density)","Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat)",Qualcomm MSM8952 Snapdragon 617 (28 nm),Octa-core (4x1.6 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,microSDXC (dedicated slot),16GB 2GB RAM,"5 MP, AF",Panorama,1080p@30fps,5 MP,,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4.2, A2DP, LE",No,No,microUSB 2.0,"Li-Ion 4800 mAh, non-removable",,Dark Blue,About 300 EUR
LG X mach,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38","HSPA 42.2/5.76 Mbps, LTE (3CA) Cat9 450/50 Mbps",149.1 x 76.5 x 8.9 mm (5.87 x 3.01 x 0.35 in),150 g (5.29 oz),,Nano-SIM,"5.5 inches, 82.2 cm","1440 x 2560 pixels, 16:9 ratio (~538 ppi density)",Android 6.0.1 (Marshmallow),Qualcomm MSM8992 Snapdragon 808 (20 nm),Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),Adreno 418,microSDXC (dedicated slot),32GB 3GB RAM,"12.3 MP, f/2.0, 1.55µm, AF","LED flash, HDR, panorama",4K@30fps,8 MP,1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","4.2, A2DP, LE",Yes,FM radio,microUSB 2.0,"Li-Ion 3000 mAh, removable",,"Titan, White",About 240 EUR
LG X max,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 , LTE,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",151.6 x 76.9 x 7.2 mm (5.97 x 3.03 x 0.28 in),133 g (4.69 oz),,Nano-SIM,"5.5 inches, 83.4 cm","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 6.0.1 (Marshmallow),Mediatek MT6735 (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,microSDHC,16GB 1.5GB RAM,"13 MP, AF",LED flash,1080p@30fps,5 MP,,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4.2, A2DP, LE",No,FM radio,microUSB 2.0,"Li-Ion 2800 mAh, removable",,Dark Blue,About 200 EUR
LG X5,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 , LTE,"HSPA, LTE",151.6 x 76.9 x 7.2 mm (5.97 x 3.03 x 0.28 in),133 g (4.69 oz),,Micro-SIM,"5.5 inches, 83.4 cm","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 6.0 (Marshmallow),,Quad-core 1.3 GHz,,microSDHC (dedicated slot),16GB 2GB RAM,"13 MP, AF","LED flash, HDR, panorama",1080p@30fps,5 MP,1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, Wi-Fi Direct","4.2, A2DP, LE",Yes,FM radio,microUSB,"Li-Ion 2800 mAh, removable",,"White, Indigo Black",About 160 EUR
