Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
OnePlus 11R,"[{'128GB 8GB RAM': '₹\u200934,999'}, {'256GB 16GB RAM': '₹\u200941,999'}]",GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 2100 ,"1, 3, 4, 5, 8, 28, 34, 38, 39, 40, 41","HSPA, LTE (3CA), 5G",163.4 x 74.3 x 8.7 mm (6.43 x 2.93 x 0.34 in),204 g (7.20 oz),"Glass front, glass back (Gorilla Glass 5), plastic frame",Nano-SIM + Nano-SIM,"6.74 inches, 109.2 cm","1240 x 2772 pixels, 20:9 ratio (~451 ppi density)","Android 13, upgradable to Android 15, OxygenOS 15",Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Octa-core (1x3.0 GHz Cortex-X2 & 3x2.5 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,No,"128GB 8GB RAM, 256GB 16GB RAM, 512GB 18GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS,
8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm,
2 MP, f/2.4, (macro)","Color spectrum sensor, LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, gyro-EIS","16 MP, f/2.4, 24mm (wide), 1/3.09"", 1.0µm",1080p@30fps,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.3, A2DP, LE, aptX HD",Yes,No,USB Type-C 2.0,Li-Po 5000 mAh,100W wired,"Galactic Silver, Sonic Black, Solar Red",
OnePlus Pad,,No cellular connectivity, N/A, N/A, N/A,,258 x 189.4 x 6.5 mm (10.16 x 7.46 x 0.26 in),552 g (1.22 lb),"Glass front, aluminum back, aluminum frame",No,"11.61 inches, 411.3 cm",2000 x 2800 pixels (~296 ppi density),"Android 13, upgradable to Android 15, OxygenOS 15",Mediatek Dimensity 9000 (4 nm),Octa-core (1x3.05 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Mali-G710 MC10,No,"128GB 8GB RAM, 256GB 12GB RAM","13 MP, f/2.2, 23mm (wide)",LED flash,"4K@30fps, 1080p@30ps, gyro-EIS","8 MP, f/2.3, (wide), 1/4.0"", 1.12µm",1080p@30fps,"Yes, with stereo speakers (4 speakers)",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.3, A2DP, LE, aptX HD",No,No,"USB Type-C 2.0, OTG, accessory connector",Li-Po 9510 mAh,67W wired,Halo Green,About 500 EUR
OnePlus Ace 2V,,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 2100 ,"1, 3, 4, 5, 8, 28, 34, 38, 39, 40, 41","HSPA, LTE (CA), 5G",162.6 x 75.1 x 8.2 mm (6.40 x 2.96 x 0.32 in),191.5 g (6.77 oz),"Glass front (Asahi Glass), aluminum frame, glass back (Gorilla Glass 5)",Nano-SIM + Nano-SIM,"6.74 inches, 109.2 cm","1240 x 2772 pixels, 20:9 ratio (~451 ppi density)","Android 13, ColorOS 13",Mediatek Dimensity 9000 (4 nm),Octa-core (1x3.05 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Mali-G710 MC10,No,"256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM, 1TB 16GB RAM","64 MP, f/1.7, 25mm (wide), PDAF,
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm,
2 MP, f/2.4, (macro)","Color spectrum sensor, LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120fps, gyro-EIS","16 MP, f/2.4, 26mm (wide), 1/3.09"", 1.0µm",1080p@30fps,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.3, A2DP, LE, aptX HD","Yes, eSE, HCE, NFC-SIM",No,USB Type-C 2.0,Li-Po 5000 mAh,"80W wired, 100% in 32 min","Black, Blue/Green",About 310 EUR
OnePlus Nord CE 3 Lite,"[{'256GB 8GB RAM': '$\u2009339.99'}, {'128GB 8GB RAM': '£\u2009198.04'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - International,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 32, 38, 39, 40, 41, 66 - International","HSPA, LTE, 5G",165.5 x 76 x 8.3 mm (6.52 x 2.99 x 0.33 in),195 g (6.88 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,"6.72 inches, 109.6 cm","1080 x 2400 pixels, 20:9 ratio (~391 ppi density)","Android 13, OxygenOS 13.1",Qualcomm SM6375 Snapdragon 695 5G (6 nm),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM","108 MP, f/1.8, (wide), 1/1.67"", 0.64µm, PDAF,
2 MP, f/2.4, (macro),
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"16 MP, f/2.4, (wide), 1.0µm",1080p@30fps,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE, aptX HD",Yes (market/region dependent),No,"USB Type-C 2.0, OTG",Li-Po 5000 mAh,"67W wired, 80% in 30 min","Pastel Lime, Chromatic Gray",
OnePlus Nord N30,[{'128GB 8GB RAM': '$\u2009113.61'}],GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 , LTE,"HSPA, LTE, 5G",165.5 x 76 x 8.3 mm (6.52 x 2.99 x 0.33 in),195 g (6.88 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,"6.72 inches, 109.6 cm","1080 x 2400 pixels, 20:9 ratio (~391 ppi density)","Android 13, OxygenOS 13.1",Qualcomm SM6375 Snapdragon 695 5G (6 nm),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,microSDXC (uses shared SIM slot),128GB 8GB RAM,"108 MP, f/1.7, (wide), 1/1.67"", 0.64µm, PDAF,
2 MP, f/2.4, (macro),
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"16 MP, f/2.4, (wide), 1.0µm",1080p@30fps,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE",Yes,No,USB Type-C,Li-Po 5000 mAh,50W wired,Chromatic Gray,
OnePlus Nord 3,"[{'128GB 8GB RAM': '£\u2009409.99'}, {'256GB 16GB RAM': '£\u2009307.00'}]",GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66 - International","HSPA, LTE, 5G",162 x 75.1 x 8.2 mm (6.38 x 2.96 x 0.32 in),193.5 g (6.84 oz),"Glass front (Dragontrail Glass), glass back (Gorilla Glass 5), plastic frame",Nano-SIM + Nano-SIM,"6.74 inches, 109.2 cm","1240 x 2772 pixels, 20:9 ratio (~451 ppi density)","Android 13, up to 3 major Android upgrades, OxygenOS 15",Mediatek Dimensity 9000 (4 nm),Octa-core (1x3.05 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Mali-G710 MC10,No,"128GB 8GB RAM, 256GB 16GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS,
8 MP, f/2.2, 112˚ (ultrawide), 1/4.0"", 1.12µm,
2 MP, f/2.4, (macro)","LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120fps, gyro-EIS","16 MP, f/2.4, 24mm (wide), 1.0µm","1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD",Yes,No,"USB Type-C 2.0, OTG",Li-Po 5000 mAh,"80W wired, 60% in 15 min, 100% in 32 min","Misty Green, Tempest Gray",
OnePlus Nord CE3,"[{'128GB 8GB RAM': '₹\u200926,998'}, {'256GB 12GB RAM': '₹\u200928,999'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 28, 34, 38, 39, 40, 41","HSPA, LTE (CA), 5G",162.7 x 75.5 x 8.2 mm (6.41 x 2.97 x 0.32 in),184 g (6.49 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,"6.7 inches, 108.0 cm","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)","Android 13, OxygenOS 13.1",Qualcomm Snapdragon 782G (6 nm),Octa-core (1x2.7 GHz Cortex-A78 & 3x2.4 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 642L,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS,
8 MP, f/2.2, 112˚ (ultrawide), 1/4.0"", 1.12µm,
2 MP, f/2.4, (macro)","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS","16 MP, f/2.4, 24mm (wide), 1.0µm","1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD, aptX Adaptive",Yes,No,USB Type-C 2.0,Li-Po 5000 mAh,"80W wired, 61% in 15 min","Aqua Surge, Gray Shimmer",
OnePlus Ace 2 Pro,,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 2100 ,"1, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41","HSPA, LTE (CA), 5G",163.1 x 74.2 x 9 mm (6.42 x 2.92 x 0.35 in),210 g (7.41 oz),"Glass front (Asahi Glass), plastic frame, glass back (Gorilla Glass 5)",Nano-SIM + Nano-SIM,"6.74 inches, 109.2 cm","1240 x 2772 pixels, 20:9 ratio (~451 ppi density)","Android 13, ColorOS 13.1",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"256GB 12GB RAM, 512GB 16GB RAM, 1TB 24GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS,
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm,
2 MP, f/2.4, (macro)","Color spectrum sensor, LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS, OIS","16 MP, f/2.4, 26mm (wide), 1/3.09"", 1.0µm",1080p@30fps,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6/7, dual-band","5.3, A2DP, LE, aptX HD","Yes, eSE, HCE",No,USB Type-C 2.0,Li-Po 5000 mAh,150W wired,"Aurora Green, Titanium Gray",About 380 EUR
OnePlus Pad Go,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 , LTE,"HSPA, LTE - cellular model only",255.1 x 188 x 6.9 mm (10.04 x 7.40 x 0.27 in),532 g (1.17 lb),,Yes - cellular model only,"11.35 inches, 396.1 cm",1720 x 2408 pixels (~260 ppi density),"Android 13, OxygenOS 13.2",Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),"128GB 8GB RAM, 256GB 8GB RAM",8 MP,,1080p@30fps,8 MP,1080p@30fps,"Yes, with stereo speakers (4 speakers)",No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.2, A2DP, LE, aptX HD",No,No,USB Type-C 2.0,Li-Po 8000 mAh,33W wired,Twin Mint,About 230 EUR
OnePlus Open,"[{'512GB 16GB RAM': '$\u20091,019.99'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 32, 38, 39, 40, 41, 46, 48, 66, 71","HSPA, LTE (CA), 5G",Unfolded: 153.4 x 143.1 x 5.8 mm,239 g or 245 g (8.43 oz),"Glass front (Ceramic Guard) (folded), plastic front (unfolded), glass back or eco leather back, aluminum frame",Nano-SIM + Nano-SIM + ,"7.82 inches, 196.7 cm",2268 x 2440 pixels (~426 ppi density),"Android 13, upgradable to Android 15, OxygenOS 15",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"512GB 16GB RAM, 1TB 16GB RAM","48 MP, f/1.7, 24mm (wide), 1/1.43"", 1.12µm, multi-directional PDAF, OIS,
64 MP, f/2.6, 70mm (telephoto), 1/2.0"", 0.7µm, PDAF, OIS, 3x optical zoom,
48 MP, f/2.2, 14mm, 114˚ (ultrawide), 1/2.0"", 0.8µm, PDAF","Hasselblad Color Calibration, LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120/240/480fps gyro-EIS, HDR10+, Dolby Vision","20MP, f/2.2, 20mm (ultrawide), 1/4.0"", 0.7µm,
Cover camera:,
32MP, f/2.4, 22mm (ultrawide), 1/3.14"", 0.7µm","4K@30fps, 1080p@30fps, gyro-EIS","Yes, with stereo speakers (Dolby Atmos enhanced)",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band","5.3, A2DP, LE, aptX HD",Yes,No,"USB Type-C 3.1, OTG",Li-Po 4805 mAh,"67W wired, PD, 100% in 42 min","Emerald Dusk, Voyager Black, Apex Edition",
OnePlus Ace 3,,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 2100 ,"1, 3, 4, 5, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41","HSPA, LTE (CA), 5G",163.3 x 75.3 x 8.8 mm (6.43 x 2.96 x 0.35 in),207 g (7.30 oz),"Glass front (Gorilla Glass Victus 2), glass back, aluminum frame",Nano-SIM + Nano-SIM,"6.78 inches, 111.7 cm",1264 x 2780 pixels (~450 ppi density),"Android 14, ColorOS 14",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"256GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS,
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm,
2 MP, f/2.4, (macro)","Color spectrum sensor, LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS, OIS","16 MP, f/2.4, 26mm (wide), 1/3"", 1.0µm",1080p@30fps,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6/7, dual-band","5.3, A2DP, LE, aptX HD","Yes, eSE, HCE",No,USB Type-C 2.0,5500 mAh,"100W wired, 100% in 27 min","Black, Blue, Rose Gold",About 340 EUR
OnePlus 12,"[{'256GB 12GB RAM': '$\u2009519.99'}, {'512GB 16GB RAM': '$\u2009599.99'}]",GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - International,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 32, 38, 39, 40, 41, 48, 66, 71 - International","HSPA, LTE (CA), 5G",164.3 x 75.8 x 9.2 mm (6.47 x 2.98 x 0.36 in),220 g (7.76 oz),"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass), aluminum frame",Nano-SIM,"6.82 inches, 113.0 cm",1440 x 3168 pixels (~510 ppi density),"Android 14, up to 4 major Android upgrades, OxygenOS 15 (International), ColorOS 14 (China)",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,No,"256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM, 1TB 16GB RAM, 1TB 24GB RAM","50 MP, f/1.6, 23mm (wide), 1/1.43"", 1.12µm, multi-directional PDAF, OIS,
64 MP, f/2.6, 70mm (periscope telephoto), 1/2.0"", 0.7µm, PDAF, OIS, 3x optical zoom,
48 MP, f/2.2, 14mm, 114˚ (ultrawide), 1/2.0"", 0.8µm, PDAF","Hasselblad Color Calibration, color spectrum sensor, Dual-LED flash, HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/240/480fps, Auto HDR, gyro-EIS, Dolby Vision","32 MP, f/2.4, 21mm (wide), 1/2.74"", 0.8µm","4K@30fps, 1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct","5.4, A2DP, LE, aptX HD, LHDC","Yes, eSE, HCE",No,"USB Type-C 3.2, OTG",Li-Po 5400 mAh,"100W wired, PD, QC, 100% in 26 min (International)","Flowy Emerald, Silky Black, Silver (Glacial White)",
OnePlus 12R,"[{'128GB 8GB RAM': '$\u2009499.99'}, {'256GB 16GB RAM': '$\u2009529.99'}]",GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 32, 38, 39, 40, 41, 66","HSPA, LTE (CA), 5G",163.3 x 75.3 x 8.8 mm (6.43 x 2.96 x 0.35 in),207 g (7.30 oz),"Glass front (Gorilla Glass Victus 2), aluminum frame, glass back",Nano-SIM + Nano-SIM + ,"6.78 inches, 111.7 cm",1264 x 2780 pixels (~450 ppi density),"Android 14, up to 3 major Android upgrades, OxygenOS 15",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 256GB 16GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS,
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm,
2 MP, f/2.4, (macro)","Laser AF, color spectrum sensor, LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS, OIS","16 MP, f/2.4, 26mm (wide), 1/3"", 1.0µm","1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6/7, dual-band","5.3, A2DP, LE, aptX HD",Yes,No,USB Type-C 2.0,Li-Ion 5500 mAh,"100W wired, 100% in 26 min","Iron Gray, Cool Blue, Electric Violet, Sunset Dune",
OnePlus Nord N30 SE,[{'128GB 4GB RAM': '$\u2009459.00'}],GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66","HSPA, LTE, 5G",165.6 x 76 x 8 mm (6.52 x 2.99 x 0.31 in),193 g (6.81 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,"6.72 inches, 109.0 cm","1080 x 2400 pixels, 20:9 ratio (~392 ppi density)","Android 13, OxygenOS 13.1",Mediatek Dimensity 6020 (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,No,128GB 4GB RAM,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF,
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",1080p@30fps,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.3, A2DP, LE",Yes,No,"USB Type-C 2.0, OTG",5000 mAh,"33W wired, 51% in 30 min","Black Satin, Cyan",
OnePlus Nord CE4,"[{'128GB 8GB RAM': '₹\u200921,998'}, {'256GB 8GB RAM': '₹\u200923,998'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,"1, 3, 5, 8, 28, 40, 41","HSPA, LTE, 5G",162.5 x 75.3 x 8.4 mm (6.40 x 2.96 x 0.33 in),186 g (6.56 oz),,Nano-SIM + Nano-SIM,"6.7 inches, 108.0 cm","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)","Android 14, ColorOS 14",Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),Octa-core (1x2.63 GHz Cortex-A715 & 4x2.4 GHz Cortex-A715 & 3x1.8 GHz Cortex-A510),Adreno 720,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, 26mm (wide), 1/1.95"", 0.8µm, PDAF, OIS,
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm","Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS","16 MP, f/2.4, 26mm (wide), 1/3.0"", 1.0µm",1080p@30fps,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.4, A2DP, LE, aptX HD, LHDC",No,No,USB Type-C 2.0,5500 mAh,"100W wired, 100% in 29 min","Celadon Marble, Dark Chrome",
OnePlus Ace 3V,,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 2100 ,"1, 3, 4, 5, 8, 28, 34, 38, 39, 40, 41","HSPA, LTE, 5G",162.7 x 75.2 x 8.5 mm (6.41 x 2.96 x 0.33 in),200 g (7.05 oz),"Glass front, glass back, plastic frame",Nano-SIM + Nano-SIM,"6.74 inches, 109.2 cm","1240 x 2772 pixels, 20:9 ratio (~451 ppi density)","Android 14, ColorOS 14",Qualcomm SM7675 Snapdragon 7+ Gen 3 (4 nm),Octa-core (1x2.8 GHz Cortex-X4 & 4x2.6 GHz Cortex-A720 & 3x1.9 GHz Cortex-A520),Adreno 732,No,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM","50 MP, f/1.8, 26mm (wide), 1/1.95"", 0.8µm, PDAF, OIS,
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm","LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120fps, gyro-EIS, OIS","16 MP, f/2.4, 26mm (wide), 1/3"", 1.0µm",1080p@30fps,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.4, A2DP, LE, aptX HD, LHDC","Yes, eSE, HCE",No,USB Type-C 2.0,5500 mAh,"100W wired, 100% in 26 min","Purple, Gray",About 260 EUR
OnePlus Nord N200 5G,[{'64GB 4GB RAM': '$\u2009169.99'}],GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 66, 71, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE Cat15 800/150 Mbps, 5G",163.1 x 74.9 x 8.3 mm (6.42 x 2.95 x 0.33 in),189 g (6.67 oz),,Nano-SIM,"6.49 inches, 102.2 cm","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)","Android 11, OxygenOS 11",Qualcomm SM4350 Snapdragon 480 5G (8 nm),Octa-core (2x2.0 GHz Kryo 460 & 6x1.8 GHz Kryo 460),Adreno 619,microSDXC,64GB 4GB RAM,"13 MP, f/2.2, (wide), PDAF,
2 MP, f/2.4, (macro),
2 MP, f/2.4, (depth)","LED flash, HDR, panorama","1080p@30fps, gyro-EIS","16 MP, f/2.1",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE",Yes,FM radio,"USB Type-C 2.0, OTG",Li-Po 5000 mAh,18W wired,Blue Quantum,
OnePlus 9RT 5G,[{'128GB 8GB RAM': '$\u2009479.99'}],GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41 - Global","HSPA 42.2/5.76 Mbps, LTE (CA) Cat18 1200/200 Mbps, 5G",162.2 x 74.6 x 8.3 mm (6.39 x 2.94 x 0.33 in),198.5 g (7.02 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame",Nano-SIM + Nano-SIM,"6.62 inches, 106.3 cm","1080 x 2400 pixels, 20:9 ratio (~397 ppi density)","Android 11, upgradable to Android 13, OxygenOS 13",Qualcomm SM8350 Snapdragon 888 5G (5 nm),Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),Adreno 660,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56”, 1.0µm, PDAF, OIS,
16 MP, f/2.2, 14mm, 123˚ (ultrawide), 1/3.6"", 1.0µm,
2 MP, f/2.4, (macro)","Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS","16 MP, f/2.4, (wide), 1/3.06"", 1.0µm","1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE",Yes,No,"USB Type-C 2.0, OTG",Li-Po 4500 mAh,"65W wired, 100% in 29 min","Hacker Black, Nano Silver, Blue",
