Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
Samsung Galaxy F15,"[{'128GB 4GB RAM': '₹\u200912,080'}, {'128GB 6GB RAM': '₹\u200912,440'}, {'128GB 8GB RAM': '₹\u200915,799'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66","HSPA, LTE, 5G",160.1 x 76.8 x 9.3 mm (6.30 x 3.02 x 0.37 in),217 g (7.65 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,"6.6 inches, 106.9 cm","1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)","Android 14, One UI 6",Mediatek Dimensity 6100+ (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","50 MP, f/1.8, (wide), AF,
5 MP, f/2.2, (ultrawide),
2 MP, f/2.4, (macro)","LED flash, panorama, HDR","1080p@30fps, gyro-EIS","13 MP, f/2.0, (wide)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE",No,No,USB Type-C 2.0,6000 mAh,25W wired,"Ash Black, Groovy Violet, Jazzy Green",
Samsung Galaxy M14 4G,"[{'64GB 4GB RAM': '₹\u20098,880'}]",GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA, LTE",168 x 77.8 x 8.8 mm (6.61 x 3.06 x 0.35 in),194 g (6.84 oz),,Nano-SIM + Nano-SIM,"6.7 inches, 107.8 cm","1080 x 2400 pixels, 20:9 ratio (~394 ppi density)","Android 13, up to 2 major Android upgrades, One UI 5.1",Qualcomm SM6225 Snapdragon 680 4G (6 nm),Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Adreno 610,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 6GB RAM","50 MP, f/1.8, (wide), PDAF,
2 MP, f/2.4, (macro),
2 MP, f/2.4, (depth)","LED flash, panorama, HDR",1080p@30/60fps,"13 MP, f/2.0, (wide)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE",No,Unspecified,USB Type-C 2.0,Li-Ion 5000 mAh,25W wired,"Arctic Blue, Sapphire Blue",
Samsung Galaxy M15,"[{'128GB 4GB RAM': '£\u2009124.79'}, {'128GB 6GB RAM': '₹\u200912,999'}, {'128GB 8GB RAM': '₹\u200914,499'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66","HSPA, LTE, 5G",160.1 x 76.8 x 9.3 mm (6.30 x 3.02 x 0.37 in),217 g (7.65 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,"6.5 inches, 103.7 cm","1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)","Android 14, One UI 6",Mediatek Dimensity 6100+ (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, (wide), AF,
5 MP, f/2.2, (ultrawide),
2 MP, f/2.4, (macro)","LED flash, panorama, HDR","1080p@30fps, gyro-EIS","13 MP, f/2.0, (wide)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE",Yes (market/region dependent),No,USB Type-C 2.0,6000 mAh,25W wired,"Light Blue, Dark Blue, Gray",
Samsung Galaxy A35,"[{'128GB 6GB RAM': '$\u2009239.99'}, {'128GB 8GB RAM': '$\u2009289.99'}, {'256GB 8GB RAM': '$\u2009267.99'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66","HSPA, LTE, 5G",161.7 x 78 x 8.2 mm (6.37 x 3.07 x 0.32 in),209 g (7.37 oz),"Glass front (Gorilla Glass Victus+), plastic frame, glass back",Nano-SIM + ,"6.6 inches, 106.9 cm","1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)","Android 14, up to 4 major Android upgrades, One UI 6.1",Exynos 1380 (5 nm),Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G68 MP5,microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, (wide), 1/1.96"", PDAF, OIS,
8 MP, f/2.2, 123˚, (ultrawide), 1/4.0"", 1.12µm,
5 MP, f/2.4, (macro)","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, gyro-EIS","13 MP, f/2.2, (wide), 1/3.06"", 1.12µm","4K@30fps, 1080p@30fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE",Yes (market/region dependent),No,"USB Type-C 2.0, OTG",Li-Ion 5000 mAh,25W wired,"Iceblue, Lilac, Navy, Lemon",
Samsung Galaxy A55,"[{'128GB 8GB RAM': '$\u2009332.50'}, {'256GB 8GB RAM': '$\u2009375.00'}, {'256GB 12GB RAM': '₹\u200933,890'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66","HSPA, LTE, 5G",161.1 x 77.4 x 8.2 mm (6.34 x 3.05 x 0.32 in),213 g (7.51 oz),"Glass front (Gorilla Glass Victus+), glass back (Gorilla Glass), aluminum frame",Nano-SIM,"6.6 inches, 106.9 cm","1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)","Android 14, up to 4 major Android upgrades, One UI 6.1",Exynos 1480 (4 nm),Octa-core (4x2.75 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Xclipse 530,microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, (wide), 1/1.56"", 1.0µm, PDAF, OIS,
12 MP, f/2.2, 123˚ (ultrawide), 1/3.06"", 1.12µm,
5 MP, f/2.4, (macro)","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, gyro-EIS","32 MP, f/2.2, 26mm (wide), 1/2.74"", 0.8µm","4K@30fps, 1080p@30/60fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE",Yes (market/region dependent),No,"USB Type-C 2.0, OTG",Li-Ion 5000 mAh,25W wired,"Iceblue, Lilac, Navy, Lemon",
Samsung Galaxy Tab S6 Lite (2024),,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 25, 26, 28, 38, 40, 41, 66","HSPA, LTE - cellular model only",244.5 x 154.3 x 7 mm (9.63 x 6.07 x 0.28 in),465/467 g (1.03 lb),"Glass front, aluminum back, aluminum frame",Nano-SIM (cellular model only),"10.4 inches, 307.9 cm","1200 x 2000 pixels, 5:3 ratio (~224 ppi density)","Android 14, One UI 6.1",Exynos 1280 (5 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM","8 MP, (wide), 1/4.0"", 1.12µm, AF","HDR, panorama",1080p@30fps,"5 MP, (wide), 1/5.0"", 1.12µm",1080p@30fps,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE",No,No,USB Type-C 2.0,Li-Po 7040 mAh,15W wired,"Gray, Mint, Rose Gold",About 400 EUR
Samsung Galaxy M55,"[{'256GB 8GB RAM': '$\u2009254.99'}, {'128GB 8GB RAM': '£\u2009276.91'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 25, 26, 28, 38, 40, 41, 66","HSPA, LTE, 5G",163.9 x 76.5 x 7.8 mm (6.45 x 3.01 x 0.31 in),180 g (6.35 oz),,Nano-SIM + Nano-SIM,"6.7 inches, 108.4 cm","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)","Android 14, One UI 6.1",Qualcomm SM7450-AB Snapdragon 7 Gen 1 (4 nm),Octa-core (1x2.4 GHz Cortex-A710 & 3x2.36 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510),Adreno 644,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, (wide), 1/1.56"", 1.0µm, PDAF, OIS,
8 MP, f/2.2, 123˚ (ultrawide),
2 MP, f/2.4, (macro)","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, gyro-EIS, OIS","50 MP, f/2.4, (wide)","4K@30fps, 1080p@30/60fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE",Yes (market/region dependent),No,"USB Type-C 2.0, OTG",5000 mAh,45W wired,"Dark Blue, Light Green",
Samsung Galaxy C55,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 25, 28, 34, 38, 39, 40, 41, 66","HSPA, LTE, 5G",163.9 x 76.5 x 7.8 mm (6.45 x 3.01 x 0.31 in),180 g (6.35 oz),"Glass front, silicone polymer (eco leather) back, plastic frame",Nano-SIM + Nano-SIM,"6.7 inches, 108.4 cm","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)","Android 14, One UI 6.1",Qualcomm SM7450-AB Snapdragon 7 Gen 1 (4 nm),Octa-core (1x2.4 GHz Cortex-A710 & 3x2.36 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510),Adreno 644,microSDXC (uses shared SIM slot),"256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, (wide), 1/1.56"", 1.0µm, PDAF, OIS,
8 MP, f/2.2, 123˚ (ultrawide),
2 MP, f/2.4, (macro)","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, gyro-EIS, OIS","50 MP, f/2.4, (wide)","4K@30fps, 1080p@30/60fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE",Yes,No,"USB Type-C 2.0, OTG",5000 mAh,45W wired,"Black, Orange",
Samsung Galaxy F55,"[{'128GB 8GB RAM': '₹\u200916,799'}, {'256GB 8GB RAM': '₹\u200919,585'}, {'256GB 12GB RAM': '₹\u200924,449'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 25, 26, 28, 38, 40, 41, 66","HSPA, LTE, 5G",163.9 x 76.5 x 7.8 mm (6.45 x 3.01 x 0.31 in),180 g (6.35 oz),"Glass front, silicone polymer (eco leather) back, plastic frame",Nano-SIM + Nano-SIM,"6.7 inches, 108.4 cm","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)","Android 14, One UI 6.1",Qualcomm SM7450-AB Snapdragon 7 Gen 1 (4 nm),Octa-core (1x2.4 GHz Cortex-A710 & 3x2.36 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510),Adreno 644,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, (wide), 1/1.56"", 1.0µm, PDAF, OIS,
8 MP, f/2.2, 123˚ (ultrawide),
2 MP, f/2.4, (macro)","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, gyro-EIS, OIS","50 MP, f/2.4, (wide)","4K@30fps, 1080p@30/60fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE",Yes,No,"USB Type-C 2.0, OTG",5000 mAh,45W wired,"Black, Apricot",
Samsung Galaxy M35,"[{'128GB 6GB RAM': '€\u2009181.00'}, {'128GB 8GB RAM': '₹\u200918,498'}, {'256GB 8GB RAM': '₹\u200921,498'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66","HSPA, LTE, 5G",162.3 x 78.6 x 9.1 mm (6.39 x 3.09 x 0.36 in),222 g (7.83 oz),"Glass front (Gorilla Glass Victus+), plastic frame, glass back",Nano-SIM + Nano-SIM,"6.6 inches, 106.9 cm","1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)","Android 14, One UI 6.1",Exynos 1380 (5 nm),Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G68 MP5,microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, (wide), 1/1.96"", PDAF, OIS,
8 MP, f/2.2, 123˚, (ultrawide), 1/4.0"", 1.12µm,
2 MP, f/2.4, (macro)","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, 720p@480fps, gyro-EIS","13 MP, f/2.2, (wide), 1/3.06"", 1.12µm","4K@30fps, 1080p@30fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE",Yes (market/region dependent),Unspecified,"USB Type-C 2.0, OTG",6000 mAh,25W wired,"Dark Blue, Light Blue, Gray",
Samsung Galaxy Z Flip6,"[{'256GB 12GB RAM': '$\u2009625.00'}, {'512GB 12GB RAM': '$\u2009899.97'}]",GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66 - International","HSPA, LTE (CA), 5G",Unfolded: 165.1 x 71.9 x 6.9 mm,187 g (6.60 oz),"Plastic front (unfolded), glass back (Gorilla Glass Victus 2), aluminum frame",Nano-SIM + ,"6.7 inches, 101.5 cm",1080 x 2640 pixels (~426 ppi density),"Android 14, One UI 6.1.1",Qualcomm SM8650-AC Snapdragon 8 Gen 3 (4 nm),8-core (1x3.39GHz Cortex-X4 & 3x3.1GHz Cortex-A720 & 2x2.9GHz Cortex-A720 & 2x2.2GHz Cortex-A520),Adreno 750 (1 GHz),No,"128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.8, 23mm (wide), 1/1.57"", 1.0µm, dual pixel PDAF, OIS,
12 MP, f/2.2, 13mm, 123˚ (ultrawide), 1/3.2"", 1.12µm","LED flash, HDR, panorama","4K@30/60fps, 1080p@60/120/240fps, 720p@960fps, HDR10+","10 MP, f/2.2, 23mm (wide), 1/3.0"", 1.22µm",4K@30/60fps,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","5.3, A2DP, LE",Yes,No,"USB Type-C 3.2, OTG",4000 mAh,"25W wired, QC2.0, 50% in 30 min","Yellow, Silver Shadow, Mint, Blue, Black, White, Peach",
Samsung Galaxy Z Fold6,"[{'256GB 12GB RAM': '$\u20091,249.00'}, {'512GB 12GB RAM': '$\u20091,098.98'}, {'1TB 12GB RAM': '$\u20091,349.99'}]",GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66 - International","HSPA, LTE (CA), 5G",Unfolded: 153.5 x 132.6 x 5.6 mm,239 g (8.43 oz),"Glass front (Gorilla Glass Victus 2) (folded), plastic front (unfolded), glass back (Gorilla Glass Victus 2), aluminum frame",Nano-SIM + ,"7.6 inches, 185.2 cm",1856 x 2160 pixels (~374 ppi density),"Android 14, up to 7 major Android upgrades, One UI 6.1.1",Qualcomm SM8650-AC Snapdragon 8 Gen 3 (4 nm),8-core (1x3.39GHz Cortex-X4 & 3x3.1GHz Cortex-A720 & 2x2.9GHz Cortex-A720 & 2x2.2GHz Cortex-A520),Adreno 750 (1 GHz),No,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM","50 MP, f/1.8, 23mm (wide), 1/1.57"", 1.0µm, dual pixel PDAF, OIS,
10 MP, f/2.4, 66mm (telephoto), 1/3.94"", 1.0µm, PDAF, OIS, 3x optical zoom,
12 MP, f/2.2, 123˚, 12mm (ultrawide), 1/3.2"", 1.12µm","LED flash, HDR, panorama","8K@30fps, 4K@60fps, 1080p@60/120/240fps (gyro-EIS), 720p@960fps (gyro-EIS), HDR10+","4 MP, f/1.8, 26mm (wide), 1/3.0"", 2.0µm, under display,
Cover camera:,
10 MP, f/2.2, 24mm (wide), 1/3.0"", 1.22µm","4K@30/60fps, 1080p@30/60fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD",Yes,No,"USB Type-C 3.2, OTG",Li-Po 4400 mAh,"25W wired, QC2.0, 50% in 30 min","Navy, Silver Shadow, Pink, Black, White",
Samsung Galaxy F14 4G,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA, LTE",168 x 77.8 x 8.8 mm (6.61 x 3.06 x 0.35 in),194 g (6.84 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,"6.7 inches, 108.4 cm","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)","Android 14, up to 2 major Android upgrades, One UI 6.1",Qualcomm SM6225 Snapdragon 680 4G (6 nm),Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Adreno 610,microSDXC (dedicated slot),64GB 4GB RAM,"50 MP, f/1.8, (wide), PDAF,
2 MP, f/2.4, (macro),
2 MP, f/2.4, (depth)","LED flash, panorama, HDR",1080p@30/60fps,"13 MP, f/2.0, (wide)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE",No,Unspecified,USB Type-C 2.0,5000 mAh,25W wired,"Moonlight Silver, Peppermint Green",About 100 EUR
Samsung Galaxy A06,"[{'64GB 4GB RAM': '$\u200994.00'}, {'128GB 6GB RAM': '$\u200993.97'}, {'128GB 4GB RAM': '€\u2009113.28'}]",GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA, LTE",167.3 x 77.3 x 8 mm (6.59 x 3.04 x 0.31 in),189 g (6.67 oz),"Glass front, plastic back, plastic frame",Nano-SIM,"6.7 inches, 108.4 cm","720 x 1600 pixels, 20:9 ratio (~262 ppi density)","Android 14, up to 2 major Android upgrades",Mediatek Helio G85 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF,
2 MP, f/2.4, (depth)",LED flash,1080p@30/60fps,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",Yes,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE",No,FM radio,USB Type-C 2.0,Li-Po 5000 mAh,25W wired,"Blue, Gold, White",
Samsung Galaxy M05,"[{'64GB 4GB RAM': '₹\u20096,498'}]",GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA, LTE",168.8 x 78.2 x 8.8 mm (6.65 x 3.08 x 0.35 in),195 g (6.88 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,"6.7 inches, 108.4 cm","720 x 1600 pixels, 20:9 ratio (~262 ppi density)","Android 14, up to 2 major Android upgrades, One UI Core 6.0",Mediatek Helio G85 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,microSDXC (dedicated slot),64GB 4GB RAM,"50 MP, f/1.8, (wide), AF,
2 MP, f/2.4, (depth)",LED flash,1080p@30/60fps,"8 MP, f/2.0",Yes,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE",No,Unspecified,USB Type-C 2.0,5000 mAh,25W wired,Mint Green,
Samsung Galaxy F05,"[{'64GB 4GB RAM': '₹\u20097,499'}]",GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA, LTE",168.8 x 78.2 x 8.8 mm (6.65 x 3.08 x 0.35 in),195 g (6.88 oz),"Glass front, plastic frame, silicone polymer (eco leather) back",Nano-SIM + Nano-SIM,"6.7 inches, 108.4 cm","720 x 1600 pixels, 20:9 ratio (~262 ppi density)","Android 14, up to 2 major Android upgrades, One UI Core 6.0",Mediatek Helio G85 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,microSDXC (dedicated slot),64GB 4GB RAM,"50 MP, f/1.8, (wide), AF,
2 MP, f/2.4, (depth)",LED flash,1080p@30/60fps,"8 MP, f/2.0",Yes,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE",No,Unspecified,"USB Type-C 2.0, OTG",5000 mAh,25W wired,Twilight Blue,
Samsung Galaxy S23 FE,"[{'128GB 8GB RAM': '$\u2009259.00'}, {'256GB 8GB RAM': '$\u2009439.99'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 38, 40, 41, 66 - International","HSPA, LTE (CA), 5G",158 x 76.5 x 8.2 mm (6.22 x 3.01 x 0.32 in),209 g (7.37 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame",Nano-SIM,"6.4 inches, 100.5 cm","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Android 13, up to 4 major Android upgrades, One UI 6.1",Exynos 2200 (4 nm) - International,Octa-core (1x2.8 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510) - International,Xclipse 920 - International,No,"128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, 23mm (wide), 1/1.57"", 1.0µm, dual pixel PDAF, OIS,
8 MP, f/2.4, 76mm (telephoto), 1/4.5"", 1.0µm, PDAF, OIS, 3x optical zoom,
12 MP, f/2.2, 13mm, 123˚ (ultrawide), 1/3.0"", 1.12µm","LED flash, HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps","10 MP, f/2.4, 25mm (wide), 1/3.0"", 1.22µm","4K@30/60fps, 1080p@30/60fps; gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct","5.3, A2DP, LE",Yes,Unspecified,"USB Type-C, OTG",Li-Ion 4500 mAh,"25W wired, PD3.0, 50% in 30 min","Mint, Cream, Graphite, Purple, Indigo, Tangerine",
Samsung Galaxy Tab A9,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41, 66","HSPA, LTE - cellular model only",211 x 124.7 x 8 mm (8.31 x 4.91 x 0.31 in),332 g or 333 g (11.71 oz),,Nano-SIM + ,"8.7 inches, 214.9 cm","800 x 1340 pixels, 5:3 ratio (~179 ppi density)","Android 13, upgradable to Android 14, One UI 6.1",Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 8GB RAM","8 MP, AF",,1080p@30fps,2 MP,Yes,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE",No,No,USB Type-C 2.0,Li-Po 5100 mAh,15W wired,"Graphite, Silver, Navy",About 180 EUR
